"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 26 01:54:05 GMT 2024","Tue Nov 26 01:54:06 GMT 2024","760","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Tue Nov 26 01:54:04 GMT 2024","Tue Nov 26 01:54:05 GMT 2024","775","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Tue Nov 26 01:54:06 GMT 2024","Tue Nov 26 01:54:06 GMT 2024","711","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Tue Nov 26 01:54:11 GMT 2024","Tue Nov 26 01:54:12 GMT 2024","928","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Tue Nov 26 01:54:06 GMT 2024","Tue Nov 26 01:54:09 GMT 2024","2855","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Tue Nov 26 01:54:03 GMT 2024","Tue Nov 26 01:54:03 GMT 2024","733","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Tue Nov 26 01:54:00 GMT 2024","Tue Nov 26 01:54:03 GMT 2024","2789","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Tue Nov 26 01:54:03 GMT 2024","Tue Nov 26 01:54:04 GMT 2024","701","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Tue Nov 26 01:54:09 GMT 2024","Tue Nov 26 01:54:11 GMT 2024","2134","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Tue Nov 26 01:54:13 GMT 2024","Tue Nov 26 01:54:14 GMT 2024","727","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Tue Nov 26 01:54:12 GMT 2024","Tue Nov 26 01:54:13 GMT 2024","705","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
