"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 01:53:10 GMT 2024","Wed Dec 18 01:53:10 GMT 2024","535","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Wed Dec 18 01:53:09 GMT 2024","Wed Dec 18 01:53:10 GMT 2024","559","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Wed Dec 18 01:53:22 GMT 2024","Wed Dec 18 01:53:24 GMT 2024","2552","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Wed Dec 18 01:53:11 GMT 2024","Wed Dec 18 01:53:12 GMT 2024","543","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Wed Dec 18 01:53:10 GMT 2024","Wed Dec 18 01:53:11 GMT 2024","625","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Wed Dec 18 01:53:24 GMT 2024","Wed Dec 18 01:53:25 GMT 2024","860","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Wed Dec 18 01:53:12 GMT 2024","Wed Dec 18 01:53:22 GMT 2024","9919","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Wed Dec 18 01:53:26 GMT 2024","Wed Dec 18 01:53:26 GMT 2024","536","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Wed Dec 18 01:53:11 GMT 2024","Wed Dec 18 01:53:11 GMT 2024","578","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Wed Dec 18 01:53:25 GMT 2024","Wed Dec 18 01:53:26 GMT 2024","535","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Wed Dec 18 01:53:07 GMT 2024","Wed Dec 18 01:53:09 GMT 2024","2527","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
