"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 13 01:58:33 GMT 2024","Fri Dec 13 01:58:35 GMT 2024","1816","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Fri Dec 13 01:58:30 GMT 2024","Fri Dec 13 01:58:31 GMT 2024","676","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Fri Dec 13 01:58:33 GMT 2024","Fri Dec 13 01:58:33 GMT 2024","664","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Fri Dec 13 01:58:31 GMT 2024","Fri Dec 13 01:58:32 GMT 2024","722","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Fri Dec 13 01:58:31 GMT 2024","Fri Dec 13 01:58:31 GMT 2024","662","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Fri Dec 13 01:58:38 GMT 2024","Fri Dec 13 01:58:39 GMT 2024","849","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Fri Dec 13 01:58:27 GMT 2024","Fri Dec 13 01:58:30 GMT 2024","2572","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Fri Dec 13 01:58:40 GMT 2024","Fri Dec 13 01:58:40 GMT 2024","655","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Fri Dec 13 01:58:32 GMT 2024","Fri Dec 13 01:58:33 GMT 2024","692","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Fri Dec 13 01:58:39 GMT 2024","Fri Dec 13 01:58:40 GMT 2024","656","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Fri Dec 13 01:58:35 GMT 2024","Fri Dec 13 01:58:38 GMT 2024","2919","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
