"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 01:48:26 GMT 2024","Fri Dec 20 01:48:29 GMT 2024","2786","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Fri Dec 20 01:48:18 GMT 2024","Fri Dec 20 01:48:21 GMT 2024","2657","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Fri Dec 20 01:48:24 GMT 2024","Fri Dec 20 01:48:26 GMT 2024","1862","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Fri Dec 20 01:48:22 GMT 2024","Fri Dec 20 01:48:23 GMT 2024","709","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Fri Dec 20 01:48:31 GMT 2024","Fri Dec 20 01:48:31 GMT 2024","659","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Fri Dec 20 01:48:30 GMT 2024","Fri Dec 20 01:48:31 GMT 2024","666","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Fri Dec 20 01:48:22 GMT 2024","Fri Dec 20 01:48:22 GMT 2024","662","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Fri Dec 20 01:48:21 GMT 2024","Fri Dec 20 01:48:22 GMT 2024","675","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Fri Dec 20 01:48:24 GMT 2024","Fri Dec 20 01:48:24 GMT 2024","648","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Fri Dec 20 01:48:23 GMT 2024","Fri Dec 20 01:48:24 GMT 2024","706","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Fri Dec 20 01:48:29 GMT 2024","Fri Dec 20 01:48:30 GMT 2024","915","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
