"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 14 01:53:42 GMT 2024","Sat Dec 14 01:53:43 GMT 2024","757","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Sat Dec 14 01:53:43 GMT 2024","Sat Dec 14 01:53:44 GMT 2024","712","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Sat Dec 14 01:53:44 GMT 2024","Sat Dec 14 01:53:45 GMT 2024","1839","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Sat Dec 14 01:53:37 GMT 2024","Sat Dec 14 01:53:40 GMT 2024","2713","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Sat Dec 14 01:53:41 GMT 2024","Sat Dec 14 01:53:41 GMT 2024","730","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Sat Dec 14 01:53:49 GMT 2024","Sat Dec 14 01:53:50 GMT 2024","873","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Sat Dec 14 01:53:51 GMT 2024","Sat Dec 14 01:53:51 GMT 2024","717","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Sat Dec 14 01:53:45 GMT 2024","Sat Dec 14 01:53:49 GMT 2024","3632","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Sat Dec 14 01:53:50 GMT 2024","Sat Dec 14 01:53:51 GMT 2024","718","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Sat Dec 14 01:53:41 GMT 2024","Sat Dec 14 01:53:42 GMT 2024","790","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Sat Dec 14 01:53:40 GMT 2024","Sat Dec 14 01:53:41 GMT 2024","731","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
