"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 01 02:11:25 GMT 2024","Sun Dec 01 02:11:25 GMT 2024","725","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Sun Dec 01 02:11:22 GMT 2024","Sun Dec 01 02:11:23 GMT 2024","723","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Sun Dec 01 02:11:23 GMT 2024","Sun Dec 01 02:11:24 GMT 2024","798","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Sun Dec 01 02:11:28 GMT 2024","Sun Dec 01 02:11:30 GMT 2024","1775","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Sun Dec 01 02:11:21 GMT 2024","Sun Dec 01 02:11:22 GMT 2024","750","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Sun Dec 01 02:11:31 GMT 2024","Sun Dec 01 02:11:32 GMT 2024","722","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Sun Dec 01 02:11:24 GMT 2024","Sun Dec 01 02:11:25 GMT 2024","790","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Sun Dec 01 02:11:30 GMT 2024","Sun Dec 01 02:11:31 GMT 2024","966","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Sun Dec 01 02:11:25 GMT 2024","Sun Dec 01 02:11:28 GMT 2024","2555","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Sun Dec 01 02:11:19 GMT 2024","Sun Dec 01 02:11:21 GMT 2024","2601","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Sun Dec 01 02:11:31 GMT 2024","Sun Dec 01 02:11:31 GMT 2024","728","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
