"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 03 01:57:24 GMT 2024","Tue Dec 03 01:57:25 GMT 2024","757","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Tue Dec 03 01:57:23 GMT 2024","Tue Dec 03 01:57:24 GMT 2024","789","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Tue Dec 03 01:57:31 GMT 2024","Tue Dec 03 01:57:32 GMT 2024","721","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Tue Dec 03 01:57:23 GMT 2024","Tue Dec 03 01:57:23 GMT 2024","718","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Tue Dec 03 01:57:25 GMT 2024","Tue Dec 03 01:57:26 GMT 2024","720","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Tue Dec 03 01:57:32 GMT 2024","Tue Dec 03 01:57:33 GMT 2024","719","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Tue Dec 03 01:57:28 GMT 2024","Tue Dec 03 01:57:30 GMT 2024","2789","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Tue Dec 03 01:57:26 GMT 2024","Tue Dec 03 01:57:28 GMT 2024","2120","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Tue Dec 03 01:57:30 GMT 2024","Tue Dec 03 01:57:31 GMT 2024","908","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Tue Dec 03 01:57:19 GMT 2024","Tue Dec 03 01:57:22 GMT 2024","2628","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Tue Dec 03 01:57:22 GMT 2024","Tue Dec 03 01:57:23 GMT 2024","734","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
