"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 01:57:47 GMT 2024","Wed Dec 04 01:57:48 GMT 2024","746","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Wed Dec 04 01:57:49 GMT 2024","Wed Dec 04 01:57:51 GMT 2024","2203","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Wed Dec 04 01:57:48 GMT 2024","Wed Dec 04 01:57:49 GMT 2024","726","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Wed Dec 04 01:57:45 GMT 2024","Wed Dec 04 01:57:46 GMT 2024","744","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Wed Dec 04 01:57:54 GMT 2024","Wed Dec 04 01:57:55 GMT 2024","719","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Wed Dec 04 01:57:47 GMT 2024","Wed Dec 04 01:57:47 GMT 2024","779","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Wed Dec 04 01:57:46 GMT 2024","Wed Dec 04 01:57:47 GMT 2024","711","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Wed Dec 04 01:57:55 GMT 2024","Wed Dec 04 01:57:56 GMT 2024","723","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Wed Dec 04 01:57:51 GMT 2024","Wed Dec 04 01:57:53 GMT 2024","2200","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Wed Dec 04 01:57:53 GMT 2024","Wed Dec 04 01:57:54 GMT 2024","940","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Wed Dec 04 01:57:42 GMT 2024","Wed Dec 04 01:57:45 GMT 2024","2679","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
