"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 24 01:47:46 GMT 2024","Tue Dec 24 01:47:47 GMT 2024","892","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Tue Dec 24 01:47:43 GMT 2024","Tue Dec 24 01:47:46 GMT 2024","3010","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Tue Dec 24 01:47:39 GMT 2024","Tue Dec 24 01:47:40 GMT 2024","705","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Tue Dec 24 01:47:40 GMT 2024","Tue Dec 24 01:47:41 GMT 2024","647","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Tue Dec 24 01:47:47 GMT 2024","Tue Dec 24 01:47:47 GMT 2024","643","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Tue Dec 24 01:47:38 GMT 2024","Tue Dec 24 01:47:38 GMT 2024","664","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Tue Dec 24 01:47:47 GMT 2024","Tue Dec 24 01:47:48 GMT 2024","659","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Tue Dec 24 01:47:38 GMT 2024","Tue Dec 24 01:47:39 GMT 2024","651","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Tue Dec 24 01:47:35 GMT 2024","Tue Dec 24 01:47:37 GMT 2024","2661","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Tue Dec 24 01:47:40 GMT 2024","Tue Dec 24 01:47:40 GMT 2024","712","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Tue Dec 24 01:47:41 GMT 2024","Tue Dec 24 01:47:43 GMT 2024","1733","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
