"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 10:26:56 GMT 2024","Mon Nov 25 10:26:57 GMT 2024","630","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Mon Nov 25 10:26:58 GMT 2024","Mon Nov 25 10:27:00 GMT 2024","1616","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Nov 25 10:26:56 GMT 2024","Mon Nov 25 10:26:56 GMT 2024","571","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Mon Nov 25 10:26:52 GMT 2024","Mon Nov 25 10:26:55 GMT 2024","2601","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Mon Nov 25 10:27:02 GMT 2024","Mon Nov 25 10:27:03 GMT 2024","767","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Mon Nov 25 10:27:00 GMT 2024","Mon Nov 25 10:27:02 GMT 2024","2719","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Mon Nov 25 10:26:55 GMT 2024","Mon Nov 25 10:26:56 GMT 2024","577","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Mon Nov 25 10:27:04 GMT 2024","Mon Nov 25 10:27:04 GMT 2024","557","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Mon Nov 25 10:26:57 GMT 2024","Mon Nov 25 10:26:58 GMT 2024","567","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Mon Nov 25 10:27:03 GMT 2024","Mon Nov 25 10:27:04 GMT 2024","550","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Mon Nov 25 10:26:57 GMT 2024","Mon Nov 25 10:26:57 GMT 2024","608","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
