"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 09 02:00:57 GMT 2024","Mon Dec 09 02:00:58 GMT 2024","716","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Mon Dec 09 02:00:52 GMT 2024","Mon Dec 09 02:00:54 GMT 2024","1650","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Dec 09 02:00:50 GMT 2024","Mon Dec 09 02:00:50 GMT 2024","773","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Mon Dec 09 02:00:49 GMT 2024","Mon Dec 09 02:00:50 GMT 2024","710","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Mon Dec 09 02:00:54 GMT 2024","Mon Dec 09 02:00:55 GMT 2024","1789","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Mon Dec 09 02:00:51 GMT 2024","Mon Dec 09 02:00:52 GMT 2024","703","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Mon Dec 09 02:00:45 GMT 2024","Mon Dec 09 02:00:48 GMT 2024","2717","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Mon Dec 09 02:00:55 GMT 2024","Mon Dec 09 02:00:56 GMT 2024","983","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Mon Dec 09 02:00:56 GMT 2024","Mon Dec 09 02:00:57 GMT 2024","708","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Mon Dec 09 02:00:50 GMT 2024","Mon Dec 09 02:00:51 GMT 2024","759","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Mon Dec 09 02:00:48 GMT 2024","Mon Dec 09 02:00:49 GMT 2024","737","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
