"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 29 01:55:17 GMT 2024","Fri Nov 29 01:55:18 GMT 2024","722","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Fri Nov 29 01:55:11 GMT 2024","Fri Nov 29 01:55:11 GMT 2024","725","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Fri Nov 29 01:55:14 GMT 2024","Fri Nov 29 01:55:16 GMT 2024","2187","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Fri Nov 29 01:55:05 GMT 2024","Fri Nov 29 01:55:07 GMT 2024","2687","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Fri Nov 29 01:55:11 GMT 2024","Fri Nov 29 01:55:14 GMT 2024","2939","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Fri Nov 29 01:55:10 GMT 2024","Fri Nov 29 01:55:11 GMT 2024","772","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Fri Nov 29 01:55:16 GMT 2024","Fri Nov 29 01:55:17 GMT 2024","962","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Fri Nov 29 01:55:08 GMT 2024","Fri Nov 29 01:55:08 GMT 2024","756","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Fri Nov 29 01:55:08 GMT 2024","Fri Nov 29 01:55:09 GMT 2024","732","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Fri Nov 29 01:55:09 GMT 2024","Fri Nov 29 01:55:10 GMT 2024","790","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Fri Nov 29 01:55:18 GMT 2024","Fri Nov 29 01:55:19 GMT 2024","725","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
