"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 16 02:01:00 GMT 2024","Mon Dec 16 02:01:03 GMT 2024","2737","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Mon Dec 16 02:01:07 GMT 2024","Mon Dec 16 02:01:09 GMT 2024","1870","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Dec 16 02:01:13 GMT 2024","Mon Dec 16 02:01:13 GMT 2024","711","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Mon Dec 16 02:01:05 GMT 2024","Mon Dec 16 02:01:06 GMT 2024","747","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Mon Dec 16 02:01:06 GMT 2024","Mon Dec 16 02:01:07 GMT 2024","715","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Mon Dec 16 02:01:03 GMT 2024","Mon Dec 16 02:01:04 GMT 2024","728","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Mon Dec 16 02:01:09 GMT 2024","Mon Dec 16 02:01:12 GMT 2024","3003","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Mon Dec 16 02:01:13 GMT 2024","Mon Dec 16 02:01:14 GMT 2024","717","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Mon Dec 16 02:01:04 GMT 2024","Mon Dec 16 02:01:05 GMT 2024","781","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Mon Dec 16 02:01:12 GMT 2024","Mon Dec 16 02:01:13 GMT 2024","950","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Mon Dec 16 02:01:04 GMT 2024","Mon Dec 16 02:01:04 GMT 2024","712","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
