"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 22 01:55:03 GMT 2024","Sun Dec 22 01:55:03 GMT 2024","653","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Sun Dec 22 01:54:56 GMT 2024","Sun Dec 22 01:54:57 GMT 2024","655","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Sun Dec 22 01:55:01 GMT 2024","Sun Dec 22 01:55:02 GMT 2024","802","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Sun Dec 22 01:55:02 GMT 2024","Sun Dec 22 01:55:03 GMT 2024","681","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Sun Dec 22 01:54:54 GMT 2024","Sun Dec 22 01:54:54 GMT 2024","672","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Sun Dec 22 01:54:51 GMT 2024","Sun Dec 22 01:54:54 GMT 2024","2652","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Sun Dec 22 01:54:56 GMT 2024","Sun Dec 22 01:54:56 GMT 2024","703","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Sun Dec 22 01:54:55 GMT 2024","Sun Dec 22 01:54:56 GMT 2024","705","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Sun Dec 22 01:54:59 GMT 2024","Sun Dec 22 01:55:01 GMT 2024","2430","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Sun Dec 22 01:54:57 GMT 2024","Sun Dec 22 01:54:59 GMT 2024","1662","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Sun Dec 22 01:54:54 GMT 2024","Sun Dec 22 01:54:55 GMT 2024","651","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
