"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 11 01:57:30 GMT 2024","Wed Dec 11 01:57:31 GMT 2024","653","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Wed Dec 11 01:57:24 GMT 2024","Wed Dec 11 01:57:26 GMT 2024","2069","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Wed Dec 11 01:57:30 GMT 2024","Wed Dec 11 01:57:30 GMT 2024","657","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"passed","Wed Dec 11 01:57:18 GMT 2024","Wed Dec 11 01:57:20 GMT 2024","2592","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Wed Dec 11 01:57:26 GMT 2024","Wed Dec 11 01:57:29 GMT 2024","2901","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Wed Dec 11 01:57:22 GMT 2024","Wed Dec 11 01:57:22 GMT 2024","730","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Wed Dec 11 01:57:21 GMT 2024","Wed Dec 11 01:57:22 GMT 2024","662","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Wed Dec 11 01:57:29 GMT 2024","Wed Dec 11 01:57:30 GMT 2024","896","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Wed Dec 11 01:57:23 GMT 2024","Wed Dec 11 01:57:24 GMT 2024","651","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Wed Dec 11 01:57:20 GMT 2024","Wed Dec 11 01:57:21 GMT 2024","675","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Wed Dec 11 01:57:22 GMT 2024","Wed Dec 11 01:57:23 GMT 2024","701","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
