"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Dec 27 05:17:48 GMT 2024","Fri Dec 27 05:17:48 GMT 2024","1","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Fri Dec 27 05:17:49 GMT 2024","Fri Dec 27 05:17:50 GMT 2024","701","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
"failed","Fri Dec 27 05:17:48 GMT 2024","Fri Dec 27 05:17:49 GMT 2024","706","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"broken","Fri Dec 27 05:17:47 GMT 2024","Fri Dec 27 05:17:48 GMT 2024","780","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Fri Dec 27 05:17:46 GMT 2024","Fri Dec 27 05:17:47 GMT 2024","707","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"skipped","Fri Dec 27 05:17:49 GMT 2024","Fri Dec 27 05:17:49 GMT 2024","1","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Fri Dec 27 05:17:50 GMT 2024","Fri Dec 27 05:17:50 GMT 2024","700","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Fri Dec 27 05:17:41 GMT 2024","Fri Dec 27 05:17:44 GMT 2024","2951","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Fri Dec 27 05:17:44 GMT 2024","Fri Dec 27 05:17:45 GMT 2024","1659","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Fri Dec 27 05:17:45 GMT 2024","Fri Dec 27 05:17:46 GMT 2024","739","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Fri Dec 27 05:17:48 GMT 2024","Fri Dec 27 05:17:48 GMT 2024","738","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"skipped","Fri Dec 27 05:17:48 GMT 2024","Fri Dec 27 05:17:48 GMT 2024","1","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
