"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 30 01:52:02 GMT 2024","Sat Nov 30 01:52:04 GMT 2024","2743","Command line suite","Command line test","tests.APITest","tests.APITest","ChatWithPersona_POST","ChatWithPersona_POST",""
"passed","Mon Nov 25 10:23:13 GMT 2024","Mon Nov 25 10:23:16 GMT 2024","2564","All Test Suite","C:/Users/visha/IdeaProjects/AI_Coach","tests.createUser","tests.createUser","CreateAccount_POST","CreateAccount_POST",""
"passed","Sat Nov 30 01:52:01 GMT 2024","Sat Nov 30 01:52:02 GMT 2024","663","Command line suite","Command line test","tests.APITest","tests.APITest","GetLanguageList_GET","GetLanguageList_GET",""
"passed","Sat Nov 30 01:52:04 GMT 2024","Sat Nov 30 01:52:06 GMT 2024","1975","Command line suite","Command line test","tests.APITest","tests.APITest","GetFeedback_POST","GetFeedback_POST",""
"passed","Sat Nov 30 01:51:55 GMT 2024","Sat Nov 30 01:51:58 GMT 2024","2617","Command line suite","Command line test","tests.APITest","tests.APITest","LoginUser_POST","LoginUser_POST",""
"passed","Sat Nov 30 01:51:59 GMT 2024","Sat Nov 30 01:52:00 GMT 2024","722","Command line suite","Command line test","tests.APITest","tests.APITest","GetRepositoryDetails_GET","GetRepositoryDetails_GET",""
"passed","Sat Nov 30 01:51:59 GMT 2024","Sat Nov 30 01:51:59 GMT 2024","661","Command line suite","Command line test","tests.APITest","tests.APITest","Language_GET","Language_GET",""
"passed","Sat Nov 30 01:52:06 GMT 2024","Sat Nov 30 01:52:07 GMT 2024","841","Command line suite","Command line test","tests.APITest","tests.APITest","GetVideoDuration_GET","GetVideoDuration_GET",""
"passed","Sat Nov 30 01:52:08 GMT 2024","Sat Nov 30 01:52:08 GMT 2024","650","Command line suite","Command line test","tests.APITest","tests.APITest","ForgotPassword_POST","ForgotPassword_POST",""
"passed","Sat Nov 30 01:52:00 GMT 2024","Sat Nov 30 01:52:01 GMT 2024","704","Command line suite","Command line test","tests.APITest","tests.APITest","GetPersonaDetails_GET","GetPersonaDetails_GET",""
"passed","Sat Nov 30 01:51:58 GMT 2024","Sat Nov 30 01:51:59 GMT 2024","685","Command line suite","Command line test","tests.APITest","tests.APITest","LanguageUpdate_PUT","LanguageUpdate_PUT",""
"passed","Sat Nov 30 01:52:07 GMT 2024","Sat Nov 30 01:52:08 GMT 2024","667","Command line suite","Command line test","tests.APITest","tests.APITest","UserLogout_POST","UserLogout_POST",""
